index,title,description,figure,references,definition,keywords,prediction,object
11.2.2.4,interpersonal and team skills,"interpersonal and team skills that can be used for this process includes but are not limited to facilitation (). facilitation improves the effectiveness of many of the techniques used to identify individual project risks and sources of overall project risk. a skilled facilitator can help participants remain focused on the risk identification task, follow the method associated with the technique accurately, ensure clear risk descriptions, identify and overcome sources of bias, and resolve any disagreements that may arise.",[],['section 4.1.2.3'],"

Interpersonal and team skills are abilities used to facilitate a process in order to improve its effectiveness. These may include but are not limited to facilitation, which helps to keep participants focused, ensure accuracy, identify and address sources of bias, and resolve any disagreements.","['interpersonal and team skills', 'interpersonal and team', 'team skills', 'process includes', 'identify individual project risks', 'facilitation improves the effectiveness', 'identify individual project', 'individual project risks', 'limited to facilitation', 'ensure clear risk descriptions']",,
11.2.2.5,prompt lists,"a prompt list is a predetermined list of risk categories that might give rise to individual project risks and that could also act as sources of overall project risk. the prompt list can be used as a framework to aid the project team in idea generation when using risk identification techniques. the risk categories in the lowest level of the risk breakdown structure can be used as a prompt list for individual project risks. some common strategic frameworks are more suitable for identifying sources of overall project risk, for example pestle (political, economic, social, technological, legal, environmental), tecop (technical, environmental, commercial, operational, political), or vuca (volatility, uncertainty, complexity, ambiguity).",[],[],"

Prompt list is a predetermined list of risk categories that could act as sources of overall project risk and can be used as a framework to aid a project team in idea generation when using risk identification techniques.","['individual project risks', 'prompt list', 'give rise to individual', 'give rise', 'rise to individual project', 'individual project', 'project', 'project risks', 'risk', 'predetermined list']",,
11.2.2.6,meetings,"to undertake risk identification, the project team may conduct a specialized meeting (often called a risk workshop). most risk workshops include some form of brainstorming (), but other risk identification techniques may be included depending on the level of the risk process defined in the risk management plan. use of a skilled facilitator will increase the effectiveness of the meeting. it is also essential to ensure that the right people participate in the risk workshop. on larger projects, it may be appropriate to invite the project sponsor, subject matter experts, sellers, representatives of the customer, or other project stakeholders. risk workshops for smaller projects may be restricted to a subset of the project team.not for distribution, sale or reproduction.",[],['section 4.1.2.2'],"

Meetings: a specialized meeting (often called a risk workshop) to undertake risk identification, with the use of a skilled facilitator, and involving the appropriate stakeholders.","['conduct a specialized meeting', 'undertake risk identification', 'project team may conduct', 'risk', 'team may conduct', 'conduct a specialized', 'risk identification', 'risk identification techniques', 'risk workshop', 'specialized meeting']",,
11.2.3,identify risks: outputs,,[],[],"Identify risks: outputs is the term used to describe a process of hazard identification that aims to provide an overall view of the complexity of risks that could potentially have an impact on an organization. It involves the collection of information on internal and external threats, which can be used to analyze, prioritize and manage risk.",[],,
11.2.3.1,risk register,"the risk register captures details of identified individual project risks. the results of perform qualitative risk analysis, plan risk responses, implement risk responses, and monitor risks are recorded in the risk register as those processes are conducted throughout the project. the risk register may contain limited or extensive risk information depending on project variables such as size and complexity. on completion of the identify risks process, the content of the risk register may include but is not limited to:  list of identified risks. each individual project risk is given a unique identifier in the risk register. identified risks are  as much detail as required to ensure unambiguous understanding. a structured risk statement may be used to distinguish risks from their cause(s) and their effect(s).  potential risk owners. where a potential risk owner has been identified during the identify risks process, the risk owner is recorded in the risk register. this will be confirmed during the perform qualitative risk analysis process.  list of potential risk responses. where a potential risk response has been identified during the identify risks process, it is recorded in the risk register. this will be confirmed during the plan risk responses process. additional data may be recorded for each identified risk, depending on the risk register format specified in the risk management plan. this may include: a short risk title, risk category, current risk status, one or more causes, one or more effects on objectives, risk triggers (events or conditions that indicate that a risk is about to occur), wbs reference of affected activities, and timing information (when was the risk identified, when might the risk occur, when might it no longer be relevant, and what is the deadline for taking action).not for distribution, sale or reproduction.",[],[],"

Risk register captures details of identified individual project risks, including a list of identified risks, potential risk owners, list of potential risk responses, a short risk title, risk category, current risk status, one or more causes, one or more effects on objectives, risk triggers (events or conditions that indicate that a risk is about to occur), WBS reference of affected activities, and timing information.","['risk', 'risk register', 'risks', 'register', 'risk register captures details', 'risk register captures', 'risk responses', 'potential risk', 'identify risks process', 'risks process']",use,project risk management
11.2.3.2,risk report,"the risk report presents information on sources of overall project risk, together with summary information on identified individual project risks. the risk report is developed progressively throughout the project risk management process. the results of perform qualitative risk analysis, perform quantitative risk analysis, plan risk responses, implement risk responses, and monitor risks are also included in the risk report as those processes are completed. on completion of the identify risks process, information in the risk report may include but is not limited to:  sources of overall project risk, indicating which are the most important drivers of overall project risk exposure; and  summary information on identified individual project risks, such as number of identified threats and opportunities, distribution of risks across risk categories, metrics and trends, etc. additional information may be included in the risk report, depending on the reporting requirements specified in the risk management plan.",[],[],"

Definition of the concept 'risk report': A report developed progressively throughout the project risk management process, which presents information on sources of overall project risk and summary information on identified individual project risks.","['identified individual project risks', 'risk report presents information', 'individual project risks', 'project risk', 'risk report', 'identified individual project', 'risk', 'project risk management process', 'risk report presents', 'report presents information']",facet of,risk response strategy
11.2.3.3,project documents updates,"project documents that may be updated as a result of this process include but are not limited to:  assumption log.   during the identify risks process, new assumptions may be made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information.  issue log.   the issue log should be updated to capture any new issues uncovered or changes in currently logged issues.  lessons learned register.   the lessons learned register can be updated with information on techniques that were effective in identifying risks to improve performance in later phases or other projects.tion.",[],"['section 4.1.3.2.', 'section 4.3.3.3.', 'section 4.4.3.1.']","

Project documents updates refer to updating documents such as the assumption log, issue log and lessons learned register with new information, changes in currently logged issues or techniques that were effective in identifying risks to improve performance.","['project documents', 'process include', 'assumption log', 'log', 'updated', 'issue log', 'process', 'project', 'identify risks process', 'assumption']",facet of,project documents
11.3,perform qualitative risk analysis,"perform qualitative risk analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. the key benefit of this process is that it focuses efforts on high-priority risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.not for distributionnot for distribution, sale perform qualitative risk analysis assesses the priority of identified individual project risks using their probability of occurrence, the corresponding impact on project objectives if the risks occur, and other factors. such assessments are subjective as they are based on perceptions of risk by the project team and other stakeholders. effective assessment therefore requires explicit identification and management of the risk attitudes of key participants in the perform qualitative risk analysis process. risk perception introduces bias into the assessment of identified risks, so attention should be paid to identifying bias and correcting for it. where a facilitator is used to support the perform qualitative risk analysis process, addressing bias is a key part of the facilitator role. an evaluation of the quality of the available information on individual project risks also helps to clarify the assessment of each risk importance to the project.not for distribution, sale or reproduction. perform qualitative risk analysis establishes the relative priorities of individual project risks for plan risk responses. it identifies a risk owner for each risk who will take responsibility for planning an appropriate risk response and ensuring that it is implemented. perform qualitative risk analysis also lays the foundation for perform quantitative risk analysis if this process is required. the perform qualitative risk analysis process is performed regularly throughout the project life cycle, as defined in the risk management plan. often, in an agile development environment, the perform qualitative risk analysis process is conducted before the start of each iteration.","['https://i.ibb.co/VxMWjSn/figure-11-8.png', 'https://i.ibb.co/MS2vhnv/figure-11-9.png']","['figure 11-8', 'figure 11-9']","not for distribution, sale or reproduction.

Perform qualitative risk analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics.","['perform qualitative risk analysis', 'qualitative risk analysis process', 'perform qualitative risk', 'qualitative risk analysis', 'risk analysis process', 'qualitative risk', 'perform qualitative', 'risk analysis', 'risk', 'individual project risks']",,
11.3.1,perform qualitative risk analysis: inputs,,[],[],"Perform qualitative risk analysis: inputs - The inputs for performing qualitative risk analysis include objectives, assumptions, constraints, environmental factors, and current levels of understanding of the project. The inputs also include the scope, outcomes/deliverables of the project, and the identified project risks.",[],,
11.3.1.1,project management plan,"  project management plan components include the risk management plan as   of particular interest in this process are the roles and responsibilities for conducting risk management, budgets for risk management, schedule activities for risk management, risk categories (often defined in a risk breakdown structure), definitions of probability and impact, the probability and impact matrix, and stakeholders risk thresholds. these inputs are usually tailored to the project during the plan risk management process. if they are not available, they may be developed during the perform qualitative risk analysis process and presented to the project sponsor for approval before use.",[],"['section 4.2.3.1.', 'section 11.1.3.1.']","

Project Management Plan: A document that identifies the approach, processes, and resources necessary to manage a project's risk. It includes risk management plans, roles and responsibilities, budgets, schedules, risk categories, definitions of probability and impact, probability and impact matrices, and stakeholder risk thresholds.","['management plan components include', 'project management plan components', 'probability and impact matrix', 'plan risk management process', 'plan components include', 'management plan components', 'risk breakdown structure', 'stakeholders risk thresholds', 'probability and impact', 'responsibilities for conducting risk']",,
11.3.1.2,project documents,"project documents that can be considered as inputs for this process include but are not limited to:  assumption log.   the assumption log is used for identifying, managing, and monitoring key assumptions and constraints that may affect the project. these may inform the assessment of the priority of individual project risks.  risk register.   the risk register contains details of each identified individual project risk that will be assessed during the perform qualitative risk analysis process.  stakeholder register.   this includes details of project stakeholders who may be nominated as risk owners.not for distribution, sale or reproduction.",[],"['section 4.1.3.2.', 'section 11.2.3.1.', 'section 13.1.3.1.']"," 

Project documents are documents that can be used as inputs for the process of performing qualitative risk analysis, such as an assumption log, risk register, and stakeholder register.","['considered as inputs', 'assumption log', 'project', 'risk', 'project documents', 'log', 'assumption', 'monitoring key assumptions', 'individual project', 'register']",,
11.3.1.3,enterprise environmental factors,"the enterprise environmental factors that can influence perform qualitative risk analysis include but are not limited to:  industry studies of similar projects, and  published material, including commercial risk databases or checklists.",[],[],"

Enterprise environmental factors refer to industry studies of similar projects, published material such as commercial risk databases or checklists, and other factors that can influence the performance of qualitative risk analysis.","['including commercial risk databases', 'qualitative risk analysis include', 'influence perform qualitative risk', 'perform qualitative risk analysis', 'studies of similar projects', 'risk databases or checklists', 'including commercial risk', 'enterprise environmental factors', 'influence perform qualitative', 'industry studies of similar']",,
11.3.1.4,organizational process assets,the organizational process assets that can influence perform qualitative risk analysis include but are not limited to information from similar completed projects.,[],[],"

Organizational process assets are resources and information such as data, documents, tools, and expertise that are generated and stored across projects and can be reused or referred to in the future.","['influence perform qualitative risk', 'perform qualitative risk analysis', 'qualitative risk analysis include', 'similar completed projects', 'organizational process assets', 'influence perform qualitative', 'perform qualitative risk', 'qualitative risk analysis', 'risk analysis include', 'information from similar completed']",,
11.3.2,perform qualitative risk analysis: tools and techniques,,[],[],"
Perform Qualitative Risk Analysis: Tools and techniques are used to assess the probability and impact of potential risks and prioritize them according to their level of importance to the project. This process can include a brainstorming session as well as the use of a probability and impact matrix.",[],,
11.3.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge or training in the following topics:  previous similar projects, and  qualitative risk analysis. expert judgment is often obtained through facilitated risk workshops or interviews. the possibility of expert views being biased should be taken into account in this process.",[],['section 4.1.2.1.'],"

Expert judgment is the utilization of specialized knowledge or training in the form of facilitated risk workshops or interviews to assess potential risks.","['previous similar projects', 'groups with specialized knowledge', 'specialized knowledge or training', 'qualitative risk analysis', 'expertise should be considered', 'similar projects', 'considered from individuals', 'individuals or groups', 'groups with specialized', 'specialized knowledge']",,
11.3.2.2,data gathering,"data-gathering techniques that can be used for this process include but are not limited to interviews. structured or semi-structured interviews () can be used to assess the probability and impacts of individual project risks, as well as other factors. the interviewer should promote an environment of trust and confidentiality in the interview setting to encourage honest and unbiased assessments.not for distribution, sale or reproduction.",[],['section 5.2.2.2'],"

Data gathering is the process of collecting information about a particular topic or issue. It can involve gathering information from various sources, like interviews, surveys and observations.","['data-gathering techniques', 'process include', 'individual project risks', 'data-gathering', 'structured or semi-structured interviews', 'impacts of individual project', 'techniques', 'process', 'include', 'limited']",,
11.3.2.3,data analysis,"data analysis techniques that can be used during this process include but are not limited to:  risk data quality assessment. risk data quality assessment evaluates the degree to which the data about individual project risks is accurate and reliable as a basis for qualitative risk analysis. the use of low-quality risk data may lead to a qualitative risk analysis that is of little use to the project. if data quality is unacceptable, it may be necessary to gather better data. risk data quality may be assessed via a questionnaire measuring the project stakeholder perceptions of various characteristics, which may include completeness, objectivity, relevancy, and timeliness. a weighted average of selected data quality characteristics can then be generated to give an overall quality score.  risk probability and impact assessment. risk probability assessment considers the likelihood that a specific risk will occur. risk impact assessment considers the potential effect on one or more project objectives such as schedule, cost, quality, or performance. impacts will be negative for threats and positive for opportunities. probability and impact are assessed for each identified individual project risk. risks can be assessed in interviews or meetings with participants selected for their familiarity with the types of risk recorded in the risk register. project team members and knowledgeable persons external to the project are included. the level of probability for each risk and its impact on each objective are evaluated during the interview or meeting. differences in the levels of probability and impact perceived by stakeholders are to be expected, and such differences should be explored. explanatory detail, including assumptions justifying the levels assigned, are also recorded. risk probabilities and impacts are assessed using the definitions given in the risk management plan (table 11-1). risks with low probability and impact may be included within the risk register as part of a watch list for future monitoring.  assessment of other risk parameters. the project team may consider other characteristics of risk (in addition to probability and impact) when prioritizing individual project risks for further analysis and action. these characteristics may include but are not limited to:not for distribution, sale or reproduction.  urgency. the period of time within which a response to the risk is to be implemented in order to be effective. a short period indicates high urgency.  proximity. the period of time before the risk might have an impact on one or more project objectives. a short period indicates high proximity.  dormancy. the period of time that may elapse after a risk has occurred before its impact is discovered. a short period indicates low dormancy.  manageability. the ease with which the risk owner (or owning organization) can manage the occurrence or impact of a risk. where management is easy, manageability is high.  controllability. the degree to which the risk owner (or owning organization) is able to control the risk outcome. where the outcome can be easily controlled, controllability is high.  detectability. the ease with which the results of the risk occurring, or being about to occur, can be detected and recognized. where the risk occurrence can be detected easily, detectability is high.  connectivity. the extent to which the risk is related to other individual project risks. where a risk is connected to many other risks, connectivity is high.  strategic impact. the potential for the risk to have a positive or negative effect on the organization strategic goals. where the risk has a major effect on strategic goals, strategic impact is high.  propinquity. the degree to which a risk is perceived to matter by one or more stakeholders. where a risk is perceived as very significant, propinquity is high. the consideration of some of these characteristics can provide a more robust prioritization of risks than is possible by only assessing probability and impact.",[],[],"

Data analysis is the process of evaluating data using analytical and logical reasoning to examine each component of the data provided.","['risk', 'risk data quality', 'risk data quality assessment', 'data quality', 'impact', 'risk data', 'project', 'data', 'risks', 'data quality assessment']",,
11.3.2.4,interpersonal and team skills,"interpersonal and team skills that can be used for this process include but are not limited to facilitation (). facilitation improves the effectiveness of the qualitative analysis of individual project risks. a skilled facilitator can help participants remain focused on the risk analysis task, follow the method associated with the technique accurately, reach consensus on assessments of probability and impacts, identify and overcome sources of bias, and resolve any disagreements that may arise.not for distribution, sale or reproduction.",[],['section 4.1.2.3'],"

Interpersonal and team skills refer to the abilities that can be used to facilitate the analysis of individual project risks, such as facilitation, remaining focused on the task at hand, accurate use of the methodology associated with the technique, reaching consensus on probability and impacts, identifying and eliminating sources of bias, and resolving disagreements.","['interpersonal and team skills', 'interpersonal and team', 'team skills', 'process include', 'facilitation improves the effectiveness', 'individual project risks', 'risk analysis task', 'limited to facilitation', 'facilitation improves', 'interpersonal']",,
11.3.2.5,risk categorization,"risks to the project can be categorized by sources of risk (e.g., using the risk breakdown structure (rbs); ), the area of the project affected (e.g., using the work breakdown structure (wbs); figures 5-12, 5-13, and 5-14), or other useful categories (e.g., project phase, project budget, and roles and responsibilities) to determine the areas of the project most exposed to the effects of uncertainty. risks can also be categorized by common root causes. risk categories that may be used for the project are defined in the risk management plan. grouping risks into categories can lead to the development of more effective risk responses by focusing attention and effort on the areas of highest risk exposure, or by developing generic risk responses to address groups of related risks.",[],['figure 11-4']," 

Risk categorization is the grouping of risks into categories to determine the areas of the project most exposed to the effects of uncertainty, and to lead to the development of more effective risk responses.","['work breakdown structure', 'risk breakdown structure', 'breakdown structure', 'work breakdown', 'figures 5-12', 'roles and responsibilities', 'effects of uncertainty', 'categorized by sources', 'project', 'project affected']",,
11.3.2.6,data representation,"data representation techniques that can be used during this process include but are not limited to:  probability and impact matrix. a probability and impact matrix is a grid for mapping the probability of each risk occurrence and its impact on project objectives if that risk occurs. this matrix specifies combinations of probability and impact that allow individual project risks to be divided into priority groups (). risks can be prioritized for further analysis and planning of risk responses based on their probability and impacts. the probability of occurrence for each individual project risk is assessed as well as its impact on one or more project objectives if it does occur, using definitions of probability and impact for the project as specified in the risk management plan. individual project risks are assigned to a priority level based on the combination of their assessed probability and impact, using a probability and impact matrix. an organization can assess a risk separately for each objective (e.g., cost, time, and scope) by having a separate probability and impact matrix for each. alternatively, it may develop ways to determine one overall priority level for each risk, either by combining assessments for different objectives, or by taking the highest priority level regardless of which objective is affected.  hierarchical charts. where risks have been categorized using more than two parameters, the probability and impact matrix cannot be used and other graphical representations are required. for example, a bubble chart displays three dimensions of data, where each risk is plotted as a disk (bubble), and the three parameters are represented by the x-axis value, the y-axis value, and the bubble size. an example bubble chart is shown in , with detectability and proximity plotted on the x and y axes, and impact value represented by bubble size.not for distribution",[],"['figure 11-5', 'figure 11-10']","
Data representation is the process of mapping the probability of each risk occurrence and its impact on project objectives if that risk occurs, as well as the assigning of priority levels for further analysis and planning of risk responses.","['probability and impact matrix', 'probability and impact', 'impact', 'impact matrix', 'probability', 'risk', 'project', 'matrix', 'process include', 'individual project risks']",,
11.3.2.7,meetings,"to undertake qualitative risk analysis, the project team may conduct a specialized meeting (often called a risk workshop) dedicated to the discussion of identified individual project risks. the goals of this meeting include the review of previously identified risks, assessment of probability and impacts (and possibly other risk parameters), categorization, and prioritization. a risk owner, who will be responsible for planning an appropriate risk response and for reporting progress on managing the risk, will be allocated to each individual project risk as part of the perform qualitative risk analysis process. the meeting may start by reviewing and confirming the probability and impact scales to be used for the analysis. the meeting may also identify additional risks during the discussion, and these should be recorded for analysis. use of a skilled facilitator will increase the effectiveness of the meeting.not for distribution, sale or reproduction.",['https://i.ibb.co/d7YMjdK/figure-11-10.png'],[],"

Definition of 'meetings': A specialized gathering or discussion dedicated to the review of identified individual project risks, assessment of probability and impacts and other risk parameters, categorization, and prioritization.","['project team may conduct', 'undertake qualitative risk analysis', 'identified individual project risks', 'conduct a specialized meeting', 'undertake qualitative risk', 'qualitative risk analysis', 'identified individual project', 'team may conduct', 'conduct a specialized', 'risk']",,
11.3.3,perform qualitative risk analysis: outputs,,[],[],"Perform Qualitative Risk Analysis: Outputs
The output of qualitative risk analysis is a list of prioritized risks that are ready to enter the risk response planning process. The output of the qualitative risk analysis process also includes the risk register, risk data sheets, a risk register report, and a risk breakdown structure. It may also provide project stakeholders with a graph of probability and impact and a list of sources of risk.",[],,
11.3.3.1,project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to:  assumption log.   during the perform qualitative risk analysis process, new assumptions may be made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information.  issue log.   the issue log should be updated to capture any new issues uncovered or changes in currently logged issues.  risk register.   the risk register is updated with new information generated during the perform qualitative risk analysis process. updates to the risk register may include assessments of probability and impacts for each individual project risk, its priority level or risk score, the nominated risk owner, risk urgency information or risk categorization, and a watch list for low-priority risks or risks requiring further analysis.  risk report.   the risk report is updated to reflect the most important individual project risks (usually those with the highest probability and impact), as well as a prioritized list of all identified risks on the project and a summary conclusion.uction.",[],"['section 4.1.3.2.', 'section 4.3.3.3.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents updates: Updates to project documents including the assumption log, the issue log, the risk register and the risk report, which may include assessments of probability and impacts for each individual project risk, its priority level or risk score, the nominated risk owner, risk urgency information or risk categorization, and a watch list for low-priority risks or risks requiring further analysis.","['risk', 'result of carrying', 'qualitative risk analysis process', 'assumption log', 'updated', 'risk analysis process', 'log', 'analysis process', 'process', 'risk register']",,
11.4,perform quantitative risk analysis,"perform quantitative risk analysis is the process of numerically analyzing the combined effect of identified individual project risks and other sources of uncertainty on overall project objectives. the key benefit of this process is that it quantifies overall project risk exposure, and it can also provide additional quantitative risk information to support risk response planning. this process is not required for every project, but where it is used, it is performed throughout the project. the inputs and outputs of this process  in .  depicts the data flow diagram for the process.not for distributnot for distribution perform quantitative risk analysis is not required for all projects. undertaking a robust analysis depends on the availability of high-quality data about individual project risks and other sources of uncertainty, as well as a sound underlying project baseline for scope, schedule, and cost. quantitative risk analysis usually requires specialized risk software and expertise in the development and interpretation of risk models. it also consumes additional time and cost. the use of quantitative risk analysis for a project will be specified in the project risk management plan. it is most likely appropriate for large or complex projects, strategically important projects, projects for which it is a contractual requirement, or projects in which a key stakeholder requires it. quantitative risk analysis is the only reliable method to assess overall project risk through evaluating the aggregated effect on project outcomes of all individual project risks and other sources of uncertainty. perform quantitative risk analysis uses information on individual project risks that have been assessed by the perform qualitative risk analysis process as having a significant potential to affect the project objectives. outputs from perform quantitative risk analysis are used as inputs to the plan risk responses process, particularly in recommending responses to the level of overall project risk and key individual risks. a quantitative risk analysis may also be undertaken following the plan risk responses process, to determine the likely effectiveness of planned responses in reducing overall project risk exposure.not for distribution, sale or reproduction.","['https://i.ibb.co/4WnsRrh/figure-11-11.png', 'https://i.ibb.co/rfC6740/figure-11-12.png']","['figure 11-11', 'figure 11-12']","

The definition of the concept 'perform quantitative risk analysis' is: the process of numerically analyzing the combined effect of identified individual project risks and other sources of uncertainty on overall project objectives.","['quantitative risk analysis', 'perform quantitative risk analysis', 'quantitative risk', 'risk', 'risk analysis', 'project', 'perform quantitative risk', 'individual project risks', 'numerically analyzing the combined', 'project risks']",,
11.4.1,perform quantitative risk analysis: inputs,,[],[],"Perform quantitative risk analysis is a process used to assess the probability of a risk event and its likely impact. Inputs into this process typically include a risk list, an understanding of the potential threats, and data of historical events.",[],,
11.4.1.1,project management plan,  project management plan components include but are not limited to:  risk management plan.   the risk management plan specifies whether quantitative risk analysis is required for the project. it also details the resources available for the analysis and the expected frequency of analyses.  scope baseline.   the scope baseline describes the starting point from which the effect of individual project risks and other sources of uncertainty are evaluated.  schedule baseline.   the schedule baseline describes the starting point from which the effect of individual project risks and other sources of uncertainty can be evaluated.  cost baseline.   the cost baseline describes the starting point from which the effect of individual project risks and other sources of uncertainty can be evaluated.,[],"['section 4.2.3.1.', 'section 11.1.3.1.', 'section 5.4.3.1.', 'section 6.5.3.1.', 'section 7.3.3.1.']","

Project Management Plan: a set of components that include but are not limited to a Risk Management Plan, Scope Baseline, Schedule Baseline, and Cost Baseline, which provide a starting point from which the effect of individual project risks and other sources of uncertainty can be evaluated.","['management plan components include', 'project management plan components', 'risk management plan', 'plan components include', 'management plan components', 'management plan', 'risk management plan specifies', 'project management plan', 'individual project risks', 'management plan specifies']",,
11.4.1.2,project documents,"project documents that can be considered as inputs for this process include but are not limited to:  assumption log.   assumptions may form inputs to the quantitative risk analysis if they are assessed as posing a risk to project objectives. the effect of constraints may also be modeled during a quantitative risk analysis.  basis of estimates.  sections 6.4.3.2 and 7.2.3.2. the basis of estimates used in the planning of the project may be reflected in variability modeled during a quantitative risk analysis process. this may include information on the estimate purpose, classification, assumed accuracy, methodology, and source.  cost estimates.   cost estimates provide the starting point from which cost variability is evaluated.  cost forecasts.   forecasts such as the project estimate to complete (etc), estimate at completion (eac), budget at completion (bac), and to-complete performance index (tcpi) may be compared to the results of a quantitative cost risk analysis to determine the confidence level associated with achieving these targets.  duration estimates.   duration estimates provide the starting point from which schedule variability is evaluated.  milestone list.   significant events in the project define the schedule targets against which the results of a quantitative schedule risk analysis are compared, in order to determine the confidence level associated with achieving these targets.not for distribution, sale or reproduction.  resource requirements.   resource requirements provide the starting point from which variability is evaluated.  risk register.   the risk register contains details of individual project risks to be used as input for quantitative risk analysis.  risk report.   the risk report describes sources of overall project risk and the current overall project risk status.  schedule forecasts.   forecasts may be compared to the results of a quantitative schedule risk analysis to determine the confidence level associated with achieving these targets.",[],"['section 4.1.3.2.', 'section 7.2.3.1.', 'section 7.4.3.2.', 'section 6.4.3.1.', 'section 6.2.3.3.', 'section 9.2.3.1.', 'section 11.2.3.1.', 'section 11.2.3.2.', 'section 6.6.3.2.']","

Project documents are a range of inputs that help define project objectives, estimate expenditure and duration, and evaluate risk. They include but are not limited to: assumption log, basis of estimates, cost estimates, cost forecasts, duration estimates, milestone list, resource requirements, risk register, risk report and schedule forecasts.","['risk', 'risk analysis', 'quantitative risk analysis', 'quantitative risk', 'project', 'quantitative', 'analysis', 'estimates', 'quantitative schedule risk analysis', 'cost']",,
11.4.1.3,enterprise environmental factors,"the enterprise environmental factors that can influence the perform quantitative risk analysis process include but are not limited to:  industry studies of similar projects, and  published material, including commercial risk databases or checklists.",[],[],"

Enterprise environmental factors are external to the project that can influence the process of perform quantitative risk analysis. These include industry studies of similar projects, published material such as commercial risk databases or checklists, and other external factors.","['including commercial risk databases', 'perform quantitative risk analysis', 'quantitative risk analysis process', 'risk analysis process include', 'studies of similar projects', 'including commercial risk', 'risk databases or checklists', 'enterprise environmental factors', 'influence the perform quantitative', 'analysis process include']",,
11.4.1.4,organizational process assets,the organizational process assets that can influence the perform quantitative risk analysis process include information from similar completed projects.,[],[],"

Organizational process assets refer to the knowledge, information, and experience captured across project and product development processes within an organization.","['perform quantitative risk analysis', 'quantitative risk analysis process', 'risk analysis process include', 'analysis process include information', 'similar completed projects', 'influence the perform quantitative', 'perform quantitative risk', 'quantitative risk analysis', 'include information from similar', 'information from similar completed']",,
11.4.2,perform quantitative risk analysis: tools and techniques,,[],[],"
""Perform quantitative risk analysis: tools and techniques - This involves developing a numerical value or probability of a specific risk and its potential impact on project objectives. It is used to identify, analyze, and evaluate risks to prioritize risks that need to be addressed in the project. This analysis includes techniques such as cost/benefit analysis, simulation, decision tree analysis, etc.""",[],,
11.4.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge or training in the following topics:  translating information on individual project risks and other sources of uncertainty into numeric inputs for the quantitative risk analysis model,  selecting the most appropriate representation of uncertainty to model particular risks or other sources of uncertainty,  modeling techniques that are appropriate in the context of the project,  identifying which tools would be most suitable for the selected modeling techniques, and  interpreting the outputs of quantitative risk analysis.not for distribution, sale or reproduction.",[],['section 4.1.2.1.'],"

Expert judgment refers to using specialized knowledge or training to translate information on individual project risks and other sources of uncertainty into numeric inputs for the quantitative risk analysis model, selecting the most appropriate representation of uncertainty to model particular risks, modeling techniques which are appropriate in the context of the project, identifying the tools which would be most suitable for the selected modeling techniques, and interpreting the outputs of quantitative risk analysis.","['inputs for the quantitative', 'risks and other sources', 'context of the project', 'risks or other sources', 'quantitative risk analysis model', 'selected modeling techniques', 'risk analysis.not for distribution', 'quantitative risk analysis', 'quantitative risk analysis.not', 'groups with specialized knowledge']",,
11.4.2.2,data gathering,"interviews () may be used to generate inputs for the quantitative risk analysis, drawing on inputs that include individual project risks and other sources of uncertainty. this is particularly useful where information is required from experts. the interviewer should promote an environment of trust and confidentiality during the interview to encourage honest and unbiased contributions.",[],['section 5.2.2.2'],"

Data gathering is the process of collecting information from interviews and other sources of uncertainty.","['include individual project risks', 'quantitative risk analysis', 'include individual project', 'individual project risks', 'inputs that include individual', 'sources of uncertainty', 'risk analysis', 'include individual', 'individual project', 'generate inputs']",,
11.4.2.3,interpersonal and team skills,"interpersonal and team skills that can be used for this process include but are not limited to facilitation (). a skilled facilitator is useful for gathering input data during a dedicated risk workshop involving project team members and other stakeholders. facilitated workshops can improve effectiveness by establishing a clear understanding of the purpose of the workshop, building consensus among participants, ensuring continued focus on the task, and using creative approaches to deal with interpersonal conflict or sources of bias.",[],['section 4.1.2.3'],"

Interpersonal and team skills are skills that can be used to facilitate a risk workshop involving project team members and other stakeholders. They include but are not limited to facilitation, building consensus among participants, ensuring continued focus on the task, and using creative approaches to deal with interpersonal conflict or sources of bias.","['limited to facilitation', 'process include', 'team skills', 'involving project team members', 'interpersonal and team skills', 'workshop involving project team', 'facilitation', 'involving project team', 'project team members', 'team']",,
